id,profil_id,mahasiswa_id,nilai
c380d61a-e503-491b-aa86-543a6f4218d9,cb21beb0-a0ab-47bd-8ac6-f7de084513f0,user-39,68
917207cb-83ac-4265-b4a8-ae8847fbbae1,1c4e1703-0305-469e-a47c-914da3b813dc,user-70,88
638958bc-2a42-4f60-b1a6-68b6dbd02553,09f034e4-ebde-46f2-841b-66834d21d64d,user-49,91
4c400530-0fd6-43f9-b5ad-15a30572de88,7110532a-340f-4967-9275-9d131ba1a362,user-86,82
d243ef91-5eed-4699-a32b-ff7e531d569a,2338d737-0ceb-4af8-8079-571109875663,user-28,91
1ab413ec-79b0-42b6-9a6c-b13ecd859b5f,acda97ab-a811-4b53-a85a-fa1f095b3f0b,user-76,71
7522e3a9-a579-436a-8442-a3a1b1747a64,24dc45c1-5182-4eac-94d7-d3780c69cffc,user-39,79
3a977cda-198a-40ea-94d2-7fbaf746e65b,2338d737-0ceb-4af8-8079-571109875663,user-66,79
6f12ef28-084e-401f-81b0-c2e710ff7596,0fc7930e-295c-4152-887b-87d93c2ad2c8,user-31,73
0332c2a0-93a4-4170-8602-fe465d349a65,c7e3d369-60cd-4419-a525-c17c67262022,user-57,99
1edd6ccb-c99d-4c4a-b3c8-a12d1dd49e06,ff8d9fb0-442d-49c6-9693-32c69e60915b,user-94,75
48cd401e-175e-418b-82af-efedbae186b9,616a0aad-5083-4815-a3c7-e3b7b98c6cfd,user-94,73
7cf56add-b2c3-4b6d-8dfb-57cc6cf118a2,f2163797-2a4e-485a-8139-bd9666ac9375,user-48,65
79575daf-ac5f-4ac4-8a1d-7430a31b0ec9,2338d737-0ceb-4af8-8079-571109875663,user-23,98
64df21c8-336e-4598-b22e-87f809e20823,c825a79b-1dfd-4640-aa34-a04b7ba7cca5,user-86,64
8a555a93-6538-4776-8236-76cf2e23f191,ff8d9fb0-442d-49c6-9693-32c69e60915b,user-62,76
826cb381-5090-40a3-a731-ef19e31ed3a4,f6c92359-61d7-4bd1-8dab-3f12c9453905,user-82,98
853b098f-880c-4ec4-ab56-3f8e5e8ea04c,7d66ac45-1864-49c6-b133-b648e7a6ce4b,user-28,95
701801b7-a443-4896-9917-be1e3950e049,0ccffc38-90ea-4cf0-aaa4-7f122345bbf3,user-88,96
7cd1fa3b-ea87-449b-84ef-8565f7ae000d,b5130e8e-3dd2-42e9-a463-1e39c24202fe,user-44,87
e5195b34-2674-42e5-aa01-28dac9d96cce,5608e30c-0d68-4a1e-ab80-65e6f16999f5,user-100,65
c1298d5d-9298-4120-ad15-b25df84faf9c,f25e0b31-2e88-4aaf-a46e-425af3138a65,user-35,73
136b8c27-8054-49b7-ae98-11db7b23aaae,1c4e1703-0305-469e-a47c-914da3b813dc,user-94,66
521d853d-a93c-4e1b-9165-a53e381ca0b6,e4844b51-9d89-41aa-a5a5-4f6b03430a28,user-37,65
ed817c41-5e59-4a60-b552-adfd3ba0bf9b,7d66ac45-1864-49c6-b133-b648e7a6ce4b,user-55,78
72e1d59b-689c-4103-a04d-ff13854d2957,0448f9be-fdb4-4724-825b-1989d070ba38,user-100,63
5777fcdb-7c5c-40fa-9c49-ee44eee4068b,be5cbf44-f801-4794-967a-58e94ce83f76,user-37,81
b2c931d8-09c3-40e7-8d14-063421053aac,cb21beb0-a0ab-47bd-8ac6-f7de084513f0,user-77,62
fcefb659-d77d-473b-8f56-942d9f0c5cdc,c2b104d7-efca-40fa-a31d-6b05da81503e,user-44,65
64c3ac1e-cc09-40b3-aaa1-6758b9a53786,24dc45c1-5182-4eac-94d7-d3780c69cffc,user-50,85
5c4d0118-21da-4ef7-b86c-cb4a67bfd139,645093af-f1d6-4bb9-8517-c854728749d1,user-26,67
35663f4b-675c-419d-963e-3fde31351a57,218dd895-3a4d-4799-9dda-2f84ca795a24,user-54,74
fe7c50dc-59dd-4654-84c1-69ae86b7e33b,be5cbf44-f801-4794-967a-58e94ce83f76,user-35,98
e3c228cb-cef5-4e4b-8ec9-e7a04f7829eb,9f0a4b19-dda2-4b7d-a51d-5eae7b107771,user-76,61
8d268e1c-7fc7-4479-a918-2575d79e563d,5ac3d33c-802e-4eaf-8250-86e2b2e38913,user-50,100
0f475e9f-b9d2-4a14-b250-b3589cc48d7d,2338d737-0ceb-4af8-8079-571109875663,user-81,100
b75d80d3-21a2-40a2-a598-2531ce292987,caa2096d-3924-4b45-95be-f94cace89cf5,user-65,93
82274aa4-f286-4a5a-ab2f-ba63a36cf075,b65c0c40-53b0-4570-85a1-84643989fb81,user-54,77
6ddcd27e-4fdc-4fbb-9734-648167987ddb,f2163797-2a4e-485a-8139-bd9666ac9375,user-29,90
e7935e9a-e2c9-4230-b363-1511264b9243,697a41e4-b061-4651-ba8b-815000afa08f,user-31,72
78bd1904-121f-4223-b147-2601693d3f44,24dc45c1-5182-4eac-94d7-d3780c69cffc,user-27,88
946b6b0f-b19a-4b07-ab91-f99686e789e9,be5cbf44-f801-4794-967a-58e94ce83f76,user-64,99
7a19f4dd-0d5a-4452-ab35-150cfc111b90,8362462f-a71b-45c4-9287-9db3b7f479aa,user-37,96
8d5993e6-b52a-432a-ac0e-235f854bafac,9db29169-ea98-4836-8385-5f501831fc8a,user-94,66
67ea7ab8-024a-4e20-ad5e-a10365cdad3b,e64def96-09af-4e52-937b-8c4773584dc5,user-69,73
79b342c0-6a69-4c66-bf84-ece4e5ace634,c825a79b-1dfd-4640-aa34-a04b7ba7cca5,user-93,63
3509c1f0-1587-46f0-a771-43ceafc4345e,48d2d4a8-2f85-4821-a503-dfdd181f4410,user-47,93
f3ce0fe4-d007-4a0c-9595-cb97f0ed1f3d,f6c92359-61d7-4bd1-8dab-3f12c9453905,user-83,95
57303936-8e48-435e-b4a1-d027844ab217,0fc7930e-295c-4152-887b-87d93c2ad2c8,user-67,94
7e503113-b066-4e8a-a66b-58b9fd17e381,468f5170-8fd4-4fb5-ac67-6db8c1299b43,user-36,94
728235ed-db27-47bc-a987-6d0879980056,624e5cc4-1244-406a-a264-9d2096d25b94,user-29,82
6d4b5118-b2fb-41a9-9149-393273faa981,0ccffc38-90ea-4cf0-aaa4-7f122345bbf3,user-64,98
ade6466c-050f-4c08-b313-c6a4f2b38e67,616a0aad-5083-4815-a3c7-e3b7b98c6cfd,user-71,66
f6d28e4b-2bc2-4ee4-a6ce-324af5b9d56e,7380d0bc-5653-4aa6-8d09-59f820104892,user-45,94
7ac65488-b22f-431f-b6af-fdd612cedfc6,0ccffc38-90ea-4cf0-aaa4-7f122345bbf3,user-82,97
1f5f763f-c737-42ae-843e-70cd11409e0a,ed682630-9d4f-481a-9310-273f971bd519,user-47,82
f2285f1c-b98d-4601-abb8-95f1c84cca9b,2f84201c-6e85-4b7b-889f-70dc50c5e697,user-74,100
9e39f5bd-6f8c-4859-8594-e2a05f0738af,241f540f-a940-4793-bff9-bc9f00f53a2e,user-96,83
2d115d80-5134-4418-9906-a8cc3db75180,5608e30c-0d68-4a1e-ab80-65e6f16999f5,user-66,72
2f67c336-9d19-4b02-a5cb-0865062dbb94,921d6812-d97f-4c65-b180-5d6766aaa20e,user-58,82
4a82fac1-51ed-4488-8bde-1b381c181c7f,0fc7930e-295c-4152-887b-87d93c2ad2c8,user-77,89
3570f70d-a90f-4a3f-b63d-9fc53c440347,0410f2fd-de66-4b92-8c92-129e5aa66ce6,user-28,99
